effect,r_sim,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,var_o,var_r,z_sim_r,z_bare_r,replaced
KimMarkus1999_uniqueness_preference,0.4283015,0.301511,0.2132595826717,0.014048649981898,76.0,31.0,jdm_bias,P2,0.4578147502774013,0.3111808728218926,0.2165837654023395,0.0140495743265971,0.0136986301369863,0.0357142857142857,0.4578147502774013,0.3111808728218926,False
Klink2000_soundsymbolism,0.9990872171419194,0.9973632546798006,0.819,0.222,171.0,823.0,linguistic_intuition,A0A1,2.6466524123622457,2.6466524123622457,1.1537725736261482,0.2257588077765745,0.0059523809523809,0.0012195121951219,1.983527451621574,1.0680463510406366,True
Knobe2003_side_effect,0.3428476690885259,0.9354143466934854,0.6006,0.6585,78.0,7982.0,moral_judgment,A0A1,0.3573159571607238,1.7000422070566703,0.6940852084756155,0.7901605896881312,0.0133333333333333,0.000125328988595,0.8105842130028873,0.9030497383856957,True
McCullough2002_gratitude_agreeableness,0.144785,-0.419025,0.41,0.54,1228.0,1559.0,questionnaire,P2,0.1458096130586175,-0.4465087841897456,0.4356112232362243,0.6041556029622671,0.0008163265306122,0.0006426735218508,0.1458096130586175,-0.4465087841897456,False
Mellers2001_conjunction_frequency,0.692666,-0.766032,0.282945147243684,0.237962230135701,108.0,1032.0,jdm_bias,P2,0.8530624878285297,-1.010653073587758,0.2908806346845318,0.2426129113970747,0.0095238095238095,0.0009718172983479,0.8530624878285297,-1.010653073587758,False
Miyamoto2002_correspondence_bias,0.9435936045017984,0.0,0.7742,0.673,58.0,7197.0,trait_inference,A0A1,1.769855682275255,0.0,1.0307276221854624,0.8162067650447854,0.0181818181818181,0.0001390047261606,1.925798497128914,0.39078465432105186,True
Oppenheimer2009_retrospective_gambler,0.2491098748769567,0.0956973096275791,0.3261,0.01,80.0,5979.0,jdm_bias,A0A1,0.2544635701182917,0.0959910565932435,0.338457925365691,0.0100003333533347,0.0129870129870129,0.0001673360107095,0.2544635701182917,0.0959910565932435,False
Park2019_scarcity_price_quality,-0.0305834999999999,-0.185695,0.2236067977499789,0.0399680383488715,149.0,773.0,jdm_bias,P2,-0.0305930407853488,-0.1878746954197347,0.2274495360057913,0.0399893410060269,0.0068493150684931,0.0012987012987012,-0.0305930407853488,-0.1878746954197347,False
Paunonen2003_attractiveness_extraversion,0.334594,0.749687,0.24,0.33,418.0,1550.0,questionnaire,P2,0.3479925120270344,0.972240029507026,0.2447741126593529,0.3428282544153939,0.0024096385542168,0.0006464124111182,0.3479925120270344,0.972240029507026,False
Reinhard2013_unconscious_lie_detection,0.086387,0.0,0.3464101615137754,0.0447213595499957,66.0,110.0,jdm_bias,P2,0.0866028611918025,0.0,0.3613585967939576,0.044751209617973,0.0158730158730158,0.0093457943925233,0.0866028611918025,0.0,False
