file,model,effect,variant,cond,n,arm_mean,arm_sd
_ds_main.json,deepseek-v4-flash,Aryani2020_word_arousal,A,,60,47.222222222222214,1.6642806995556911
_ds_main.json,deepseek-v4-flash,Aryani2020_word_arousal,B,,60,48.04305555555556,2.2162850374633565
_ds_main.json,deepseek-v4-flash,Asch1946_warm_cold,A,cold,30,49.46666666666666,3.9222536983313656
_ds_main.json,deepseek-v4-flash,Asch1946_warm_cold,A,warm,30,51.47407407407407,8.196063660905013
_ds_main.json,deepseek-v4-flash,Asch1946_warm_cold,B,cold,30,49.37037037037036,2.794407014451235
_ds_main.json,deepseek-v4-flash,Asch1946_warm_cold,B,warm,30,49.864814814814814,7.681837959155804
_ds_main.json,deepseek-v4-flash,BlackBarnes2015_transportation,A,fiction,30,59.98571428571428,2.7912277551200266
_ds_main.json,deepseek-v4-flash,BlackBarnes2015_transportation,A,nonfiction,30,32.804761904761904,3.2629612470535476
_ds_main.json,deepseek-v4-flash,BlackBarnes2015_transportation,B,fiction,30,58.580952380952375,2.552292109327979
_ds_main.json,deepseek-v4-flash,BlackBarnes2015_transportation,B,nonfiction,30,50.73333333333334,4.527427124966462
_ds_main.json,deepseek-v4-flash,Cao2018_bayesian_pilot,A,,60,50.0,0.0
_ds_main.json,deepseek-v4-flash,Cao2018_bayesian_pilot,B,,60,50.208333333333336,0.9455671431591847
_ds_main.json,deepseek-v4-flash,FathKay2018_hierarchy_corruption,A,flat,30,28.952380952380956,2.8186293125939885
_ds_main.json,deepseek-v4-flash,FathKay2018_hierarchy_corruption,A,hierarchical,30,47.94285714285714,6.384995165644695
_ds_main.json,deepseek-v4-flash,FathKay2018_hierarchy_corruption,B,flat,30,32.30952380952381,3.9462517018470913
_ds_main.json,deepseek-v4-flash,FathKay2018_hierarchy_corruption,B,hierarchical,30,46.876190476190466,4.8285902131690595
_ds_main.json,deepseek-v4-flash,Hoorens2015_more_less_asymmetry,A,less,30,52.705555555555556,6.494396920270942
_ds_main.json,deepseek-v4-flash,Hoorens2015_more_less_asymmetry,A,more,30,65.05,3.4622701822380666
_ds_main.json,deepseek-v4-flash,Hoorens2015_more_less_asymmetry,B,less,30,57.2,2.8891239220630602
_ds_main.json,deepseek-v4-flash,Hoorens2015_more_less_asymmetry,B,more,30,62.966666666666676,2.317965263536744
_ds_main.json,deepseek-v4-flash,John2016_hiding_information,A,hide,30,34.586666666666666,7.404311056554973
_ds_main.json,deepseek-v4-flash,John2016_hiding_information,A,reveal,30,40.34666666666667,7.113167758147952
_ds_main.json,deepseek-v4-flash,John2016_hiding_information,B,hide,30,32.873333333333335,5.513494556288436
_ds_main.json,deepseek-v4-flash,John2016_hiding_information,B,reveal,30,78.59333333333335,2.69690357426603
_ds_main.json,deepseek-v4-flash,Klink2000_soundsymbolism,A,,60,50.614583333333336,3.05065856012484
_ds_main.json,deepseek-v4-flash,Klink2000_soundsymbolism,B,,60,50.61736111111111,2.8890006488798847
_ds_main.json,deepseek-v4-flash,Knobe2003_side_effect,A,harm,30,86.36666666666666,5.974854716969182
_ds_main.json,deepseek-v4-flash,Knobe2003_side_effect,A,help,30,15.266666666666667,7.098982712724096
_ds_main.json,deepseek-v4-flash,Knobe2003_side_effect,B,harm,30,84.76666666666667,5.276888814022479
_ds_main.json,deepseek-v4-flash,Knobe2003_side_effect,B,help,30,22.466666666666665,9.326426015480003
_ds_main.json,deepseek-v4-flash,Miyamoto2002_correspondence_bias,A,anti_essay,30,19.166666666666668,10.089873911776875
_ds_main.json,deepseek-v4-flash,Miyamoto2002_correspondence_bias,A,pro_essay,30,74.3,7.983942217559778
_ds_main.json,deepseek-v4-flash,Miyamoto2002_correspondence_bias,B,anti_essay,30,23.333333333333332,11.279282877125755
_ds_main.json,deepseek-v4-flash,Miyamoto2002_correspondence_bias,B,pro_essay,30,69.83333333333333,11.521236430561126
_ds_main.json,deepseek-v4-flash,Rottenstreich2001_affective_lottery,A,certainty,30,14.666666666666666,6.0461190490723515
_ds_main.json,deepseek-v4-flash,Rottenstreich2001_affective_lottery,A,low_probability,30,17.0,13.880441875771343
_ds_main.json,deepseek-v4-flash,Rottenstreich2001_affective_lottery,B,certainty,30,12.5,6.422616289332565
_ds_main.json,deepseek-v4-flash,Rottenstreich2001_affective_lottery,B,low_probability,30,16.5,6.726812023536855
_ds_main.json,deepseek-v4-flash,Tamir2012_selfdisclosure,A,,60,49.49749999999999,4.0884738900964015
_ds_main.json,deepseek-v4-flash,Tamir2012_selfdisclosure,B,,60,63.51083333333333,4.323810931599834
_ds_main.json,deepseek-v4-flash,Valdesolo2007_hypocrisy,A,ingroup_actor,15,10.666666666666666,2.494438257849294
_ds_main.json,deepseek-v4-flash,Valdesolo2007_hypocrisy,A,other_actor,15,4.0,3.7416573867739413
_ds_main.json,deepseek-v4-flash,Valdesolo2007_hypocrisy,A,outgroup_actor,15,8.333333333333334,2.9814239699997196
_ds_main.json,deepseek-v4-flash,Valdesolo2007_hypocrisy,A,self_actor,15,53.666666666666664,29.408993333483703
_ds_main.json,deepseek-v4-flash,Valdesolo2007_hypocrisy,B,ingroup_actor,15,3.0,4.0
_ds_main.json,deepseek-v4-flash,Valdesolo2007_hypocrisy,B,other_actor,15,3.0,4.0
_ds_main.json,deepseek-v4-flash,Valdesolo2007_hypocrisy,B,outgroup_actor,15,4.333333333333333,4.0276819911981905
_ds_main.json,deepseek-v4-flash,Valdesolo2007_hypocrisy,B,self_actor,15,37.666666666666664,27.07192067232927
_ds_main.json,deepseek-v4-flash,Weinstein1984_comparative_optimism,A,,60,29.496666666666666,4.164461416424564
_ds_main.json,deepseek-v4-flash,Weinstein1984_comparative_optimism,B,,60,33.69500000000001,3.473239362132513
