effect,model,r_sim,r_sim_all,variant_spread,refusal_rate,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,D_pub,var_o,var_r,z_sim_r,z_bare_r,replaced
KimMarkus1999_uniqueness_preference,sonnet5,-0.5709195,-0.409436,0.2479525,0.0,-0.218218,0.2132595826717,0.014048649981898,76.0,31.0,jdm_bias,P2,-0.6488859243413589,-0.2217842424447684,0.2165837654023395,0.0140495743265971,0.2025341910757423,0.0136986301369863,0.0357142857142857,-0.6488859243413589,-0.2217842424447684,False
KimMarkus1999_uniqueness_preference,sonnet45,0.5,0.5501285,0.5657535,0.0,0.333333,0.2132595826717,0.014048649981898,76.0,31.0,jdm_bias,P2,0.5493061443340549,0.3465732152800195,0.2165837654023395,0.0140495743265971,0.2025341910757423,0.0136986301369863,0.0357142857142857,0.5493061443340549,0.3465732152800195,False
McCullough2002_gratitude_agreeableness,sonnet5,0.081957,0.2704674999999999,0.2254119999999999,,0.616061,0.41,0.54,1228.0,1559.0,questionnaire,P2,0.0821412434573339,0.7186316500454862,0.4356112232362243,0.6041556029622671,-0.1685443797260428,0.0008163265306122,0.0006426735218508,0.0821412434573339,0.7186316500454862,False
McCullough2002_gratitude_agreeableness,sonnet45,-0.139583,0.3996905,0.1245165,,0.0,0.41,0.54,1228.0,1559.0,questionnaire,P2,-0.1405002647736047,0.0,0.4356112232362243,0.6041556029622671,-0.1685443797260428,0.0008163265306122,0.0006426735218508,-0.1405002647736047,0.0,False
Mellers2001_conjunction_frequency,sonnet5,0.901224,0.900177,0.1720425,,0.613151,0.282945147243684,0.237962230135701,108.0,1032.0,jdm_bias,P2,1.4786992540004391,0.7139551260579647,0.2908806346845318,0.2426129113970747,0.048267723287457,0.0095238095238095,0.0009718172983479,1.4786992540004391,0.7139551260579647,False
Mellers2001_conjunction_frequency,sonnet45,0.87701,0.4438089999999999,0.152936,,-0.612531,0.282945147243684,0.237962230135701,108.0,1032.0,jdm_bias,P2,1.3626661564842515,-0.712962213849052,0.2908806346845318,0.2426129113970747,0.048267723287457,0.0095238095238095,0.0009718172983479,1.3626661564842515,-0.712962213849052,False
Park2019_scarcity_price_quality,sonnet5,0.0,0.0,0.0,,0.0,0.2236067977499789,0.0399680383488715,149.0,773.0,jdm_bias,P2,0.0,0.0,0.2274495360057913,0.0399893410060269,0.1874601949997644,0.0068493150684931,0.0012987012987012,0.0,0.0,False
Paunonen2003_attractiveness_extraversion,sonnet5,0.717428,0.52278,0.245177,,0.075714,0.24,0.33,418.0,1550.0,questionnaire,P2,0.9023248582252036,0.0758591792878725,0.2447741126593529,0.3428282544153939,-0.0980541417560409,0.0024096385542168,0.0006464124111182,0.9023248582252036,0.0758591792878725,False
Paunonen2003_attractiveness_extraversion,sonnet45,0.0,0.1054675,0.166826,,0.064633,0.24,0.33,418.0,1550.0,questionnaire,P2,0.0,0.0647232260857802,0.2447741126593529,0.3428282544153939,-0.0980541417560409,0.0024096385542168,0.0006464124111182,0.0,0.0647232260857802,False
Peters2006_numeracy_framing,sonnet5,0.032124,0.032124,0.1873455,,0.059358,0.3316624790355399,0.1,100.0,860.0,jdm_bias,P2,0.0321350569823029,0.059427861189396,0.3446950540189968,0.1003353477310755,0.2443597062879212,0.0103092783505154,0.0011668611435239,0.0321350569823029,0.059427861189396,False
Reinhard2013_unconscious_lie_detection,sonnet5,0.0,0.0,0.0,,0.0,0.3464101615137754,0.0447213595499957,66.0,110.0,jdm_bias,P2,0.0,0.0,0.3613585967939576,0.044751209617973,0.3166073871759845,0.0158730158730158,0.0093457943925233,0.0,0.0,False
Reinhard2013_unconscious_lie_detection,sonnet45,0.456418,0.0928475,0.5492655,,0.0,0.3464101615137754,0.0447213595499957,66.0,110.0,jdm_bias,P2,0.4927773531604483,0.0,0.3613585967939576,0.044751209617973,0.3166073871759845,0.0158730158730158,0.0093457943925233,0.4927773531604483,0.0,False
Stevenson2000_web_brand_attitude,sonnet5,0.9158015,0.9376605,0.096944,,0.771641,0.42,0.54,30.0,95.0,social_judgment,P2,1.5623571227742294,1.024371281333527,0.4476920235274206,0.6041556029622671,-0.1564635794348464,0.037037037037037,0.0108695652173913,1.5623571227742294,1.024371281333527,False
Stevenson2000_web_brand_attitude,sonnet45,0.4990715,0.4990505,0.998122,,0.0,0.42,0.54,30.0,95.0,social_judgment,P2,0.5480689095506963,0.0,0.4476920235274206,0.6041556029622671,-0.1564635794348464,0.037037037037037,0.0108695652173913,0.5480689095506963,0.0,False
Thoresen2003_commitment_negative_affect,sonnet5,-0.0665535,-0.0665535,0.439887,,0.316124,-0.19,-0.26,713.0,748.0,questionnaire,P2,-0.0666520252981848,0.3273348588659677,-0.1923371692195453,-0.2661084068736541,0.0737712376541088,0.0014084507042253,0.0013422818791946,-0.0666520252981848,0.3273348588659677,False
Thoresen2003_commitment_negative_affect,sonnet45,-0.5,0.0963385,0.6331865,,-0.46642,-0.19,-0.26,713.0,748.0,questionnaire,P2,-0.5493061443340549,-0.5054851613181548,-0.1923371692195453,-0.2661084068736541,0.0737712376541088,0.0014084507042253,0.0013422818791946,-0.5493061443340549,-0.5054851613181548,False
Weinstein1984_comparative_optimism,sonnet5,-0.9686245,-0.9601455,0.030888,,-0.99784,-0.3511234415883917,-0.196116135138184,136.0,480.0,jdm_bias,P2,-2.069531510465193,-2.6466524123622457,-0.3667246042301368,-0.1986901103492413,-0.1680344938808954,0.0075187969924812,0.0020964360587002,1.8127804746395908,2.6466524123622457,True
Asch1946_warm_cold,sonnet5,1.0,1.0,,,0.0,0.6508,0.1966,166.0,183.0,trait_inference,A0A1,2.6466524123622457,0.0,0.7766852369564898,0.1991933795153748,0.577491857441115,0.0061349693251533,0.0055555555555555,1.426157512491594,2.518929314537656,True
Asch1946_warm_cold,sonnet45,1.0,1.0,,,0.0,0.6508,0.1966,166.0,183.0,trait_inference,A0A1,2.6466524123622457,0.0,0.7766852369564898,0.1991933795153748,0.577491857441115,0.0061349693251533,0.0055555555555555,1.986325239557107,1.8860052200469242,True
Cooney2016_fairness,sonnet5,0.8754804791094791,0.8754804791094791,,,0.9156284542458348,0.5657,0.1211,120.0,132.0,moral_judgment,A0A1,1.3560788315932677,1.5612854065866997,0.6411763738883505,0.1216972497944741,0.5194791240938763,0.0085470085470085,0.0077519379844961,1.3560788315932677,1.5612854065866997,False
Cooney2016_fairness,sonnet45,0.0,0.0,,,0.4349588362008402,0.5657,0.1211,120.0,132.0,moral_judgment,A0A1,0.0,0.4659964287168527,0.6411763738883505,0.1216972497944741,0.5194791240938763,0.0085470085470085,0.0077519379844961,0.0,0.4659964287168527,False
Klink2000_soundsymbolism,sonnet5,0.9923672332051516,0.9923672332051516,,,0.9960238411119948,0.819,0.222,171.0,823.0,linguistic_intuition,A0A1,2.6466524123622457,2.6466524123622457,1.1537725736261482,0.2257588077765745,0.9280137658495736,0.0059523809523809,0.0012195121951219,0.46071662900404886,0.9891692792643547,True
