effect,model,r_sim,r_sim_all,variant_spread,refusal_rate,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,D_pub,var_o,var_r
Giessner2007_vertical_power,sonnet45,0.340777,0.5424865,1.0523215000000001,0.02564102564102564,,0.2638110893282788,0.0149983127847122,64.0,7890.0,social_priming,P2,0.35497135343972436,,0.27020017549472614,0.014999437556945456,0.2552007379377807,0.01639344262295082,0.00012679092177000128
Glikson2017_smiley_competence,sonnet5,0.291596,0.6070690000000001,0.7170865,0.0,-0.654654,0.3387194682727416,0.1093404791528976,85.0,823.0,trait_inference,P2,0.3003096947625834,-0.7834001947474628,0.35264533025269984,0.10977936592054341,0.24286596433215643,0.012195121951219513,0.0012195121951219512
Glikson2017_smiley_competence,sonnet45,-0.0881305,-0.0881305,0.466555,0.02127659574468085,-0.622543,0.3387194682727416,0.1093404791528976,85.0,823.0,trait_inference,P2,-0.0883597386728021,-0.7291466478109646,0.35264533025269984,0.10977936592054341,0.24286596433215643,0.012195121951219513,0.0012195121951219512
Helzer2011_cleansing_conservatism,sonnet5,0.289662,0.0151935,0.20972449999999998,0.0,,0.4065622681231995,-0.029986509105671,52.0,160.0,social_priming,P2,0.29819726721263085,,0.4314858034460881,-0.02999550182152426,0.4614813052676124,0.02040816326530612,0.006369426751592357
Helzer2011_cleansing_conservatism,sonnet45,0.0,0.0,0.16657349999999999,0.0196078431372549,,0.4065622681231995,-0.029986509105671,52.0,160.0,social_priming,P2,0.0,,0.4314858034460881,-0.02999550182152426,0.4614813052676124,0.02040816326530612,0.006369426751592357
Hoorens2015_more_less_asymmetry,sonnet5,0.9223795,0.8337125000000001,0.2899784999999999,0.0,0.966558,0.6782329983125268,0.4819187497721559,320.0,433.0,jdm_bias,P2,1.604743726526497,2.0371137452106827,0.8258345228925368,0.5254804479785135,0.30035407491402333,0.0031545741324921135,0.002325581395348837
Hoorens2015_more_less_asymmetry,sonnet45,0.9801945,0.820669,0.004301500000000069,0.0,0.495188,0.6782329983125268,0.4819187497721559,320.0,433.0,jdm_bias,P2,2.302495337141085,0.5429105738458485,0.8258345228925368,0.5254804479785135,0.30035407491402333,0.0031545741324921135,0.002325581395348837
Huang2014_cleanliness_effort,sonnet5,-0.1704955,-0.1704955,0.192035,0.5686274509803921,,-0.1434993104669943,0.0617568943169517,218.0,387.0,social_priming,P2,-0.17217695392105317,,-0.14449664381882232,0.061835586298119236,-0.20633223011694157,0.004651162790697674,0.0026041666666666665
Huang2014_cleanliness_effort,sonnet45,-0.108745,0.280047,0.1252545,0.45454545454545453,,-0.1434993104669943,0.0617568943169517,218.0,387.0,social_priming,P2,-0.10917672110990578,,-0.14449664381882232,0.061835586298119236,-0.20633223011694157,0.004651162790697674,0.0026041666666666665
Huang2019_anthropomorphism_holistic,sonnet5,0.0,0.0,0.0,0.0,0.0,0.6708203932499369,0.0499376169438922,101.0,584.0,social_judgment,P2,0.0,0.0,0.8122332596240808,0.04997919006934863,0.7622540695547322,0.01020408163265306,0.0017211703958691911
Huang2019_anthropomorphism_holistic,sonnet45,0.0,0.0,0.0,0.008403361344537815,0.0,0.6708203932499369,0.0499376169438922,101.0,584.0,social_judgment,P2,0.0,0.0,0.8122332596240808,0.04997919006934863,0.7622540695547322,0.01020408163265306,0.0017211703958691911
John2016_hiding_information,sonnet5,0.892225,0.892225,0.26823299999999994,0.0,-0.907263,0.1899761158124235,0.0194962936194799,142.0,1224.0,trait_inference,P2,1.4327314718419453,-1.5118284895523395,0.1923123906376008,0.01949876439891511,0.17281362623868568,0.007194244604316547,0.000819000819000819
John2016_hiding_information,sonnet45,1.0,0.9976985,0.07543699999999998,0.19402985074626866,-0.826908,0.1899761158124235,0.0194962936194799,142.0,1224.0,trait_inference,P2,2.6466524123622457,-1.1782784771407653,0.1923123906376008,0.01949876439891511,0.17281362623868568,0.007194244604316547,0.000819000819000819
Jostmann2009_weight_importance,sonnet5,0.7804125,0.9439850000000001,0.22495750000000003,0.0,,0.282945147243684,0.0149983127847122,51.0,2374.0,social_priming,P2,1.0464247858358662,,0.2908806346845318,0.014999437556945456,0.27588119712758635,0.020833333333333332,0.00042176296921130323
Jostmann2009_weight_importance,sonnet45,0.534383,0.503885,0.281576,0.02512562814070352,,0.282945147243684,0.0149983127847122,51.0,2374.0,social_priming,P2,0.5962601085202045,,0.2908806346845318,0.014999437556945456,0.27588119712758635,0.020833333333333332,0.00042176296921130323
Kay2014_structure_goal_pursuit,sonnet5,0.412828,0.20563900000000002,0.15163349999999998,0.0,,0.2425356250363329,-0.0099995000374968,67.0,6506.0,social_priming,P2,0.4390154281065835,,0.2474664615472634,-0.009999833340832813,0.2574662948880962,0.015625,0.00015377518068583732
