effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,n_total
Valdesolo2007_hypocrisy,B,sonnet5,demographic,0.7934920476146071,0.7229583765832219,0.8735972525282758,60,60
Valdesolo2007_hypocrisy,B,sonnet45,none,1.0,1.0,1.0,60,60
Valdesolo2007_hypocrisy,B,sonnet45,demographic,0.9682818167756511,0.9138115486188472,1.0,60,60
Valdesolo2007_hypocrisy,frame_flip,sonnet5,none,0.24942092316977013,0.13245323570601636,0.36892815899740034,60,60
Valdesolo2007_hypocrisy,frame_flip,sonnet5,demographic,0.37796447300675273,0.1924500897278354,0.5773502691865707,60,60
Valdesolo2007_hypocrisy,frame_flip,sonnet45,none,1.0,1.0,1.0,60,60
Valdesolo2007_hypocrisy,frame_flip,sonnet45,demographic,0.881917103685257,0.7071067811832402,1.0,60,60
Valdesolo2007_hypocrisy,deidentified,sonnet5,none,0.9798075546190573,0.9721943244838425,0.9883099064611949,60,60
Valdesolo2007_hypocrisy,deidentified,sonnet5,demographic,0.8099238707333386,0.7323928300971445,0.9143829106460328,60,60
Valdesolo2007_hypocrisy,deidentified,sonnet45,none,,,,35,60
Valdesolo2007_hypocrisy,deidentified,sonnet45,demographic,0.9829873531619575,0.9760921603573729,0.9949256649689319,60,60
VanBoven2007_anticipation,A,sonnet5,none,0.7867957924694431,0.6118129079815336,0.8201681618399564,40,40
VanBoven2007_anticipation,A,sonnet5,demographic,0.7458283347479076,0.4832524538289862,0.799271630843405,40,40
VanBoven2007_anticipation,A,sonnet45,none,0.0,0.7411832531592617,0.8810669629803797,40,40
VanBoven2007_anticipation,A,sonnet45,demographic,0.0,0.5976331354738981,0.8396363224712323,40,40
VanBoven2007_anticipation,B,sonnet5,none,0.0,0.0,0.0,40,40
VanBoven2007_anticipation,B,sonnet5,demographic,0.9488147219339523,0.0,0.98710455392748,40,40
VanBoven2007_anticipation,B,sonnet45,none,0.0,0.0,0.0,40,40
VanBoven2007_anticipation,B,sonnet45,demographic,0.9575175804338617,0.8139685388001661,0.9377310032900789,40,40
VanBoven2007_anticipation,frame_flip,sonnet5,none,0.14815480683669602,-0.10746846925086118,0.4518721961743084,40,40
VanBoven2007_anticipation,frame_flip,sonnet5,demographic,0.8469920043385325,0.5979429350492884,0.8534360789870604,40,40
VanBoven2007_anticipation,frame_flip,sonnet45,none,0.0,0.7411832531592617,0.8810669629803797,40,40
VanBoven2007_anticipation,frame_flip,sonnet45,demographic,0.0,0.6075238048846953,0.8405610600325596,40,40
VanBoven2007_anticipation,deidentified,sonnet5,none,0.0,0.8036331829052614,0.9246291726423181,40,40
VanBoven2007_anticipation,deidentified,sonnet5,demographic,0.8978156702800745,0.6280754749541155,0.8544234754264043,40,40
VanBoven2007_anticipation,deidentified,sonnet45,none,0.0,0.741998516004452,0.8921425711997713,40,40
VanBoven2007_anticipation,deidentified,sonnet45,demographic,0.7458283347479076,0.5125035844058106,0.8139737523146567,40,40
Wakslak2006_construal,A,sonnet5,none,-0.5450385558636116,-0.7146377365643656,-0.3671133570101987,40,40
Wakslak2006_construal,A,sonnet5,demographic,-0.0745464986577061,-0.44090167370826866,0.20953988086637976,40,40
Wakslak2006_construal,A,sonnet45,none,,,,20,40
Wakslak2006_construal,A,sonnet45,demographic,,,,17,40
Wakslak2006_construal,B,sonnet5,none,-0.31694680906544237,-0.5802177077412499,-0.025879032848115147,40,40
Wakslak2006_construal,B,sonnet5,demographic,0.22928638950351987,-0.07677555805419452,0.5049314542752256,40,40
Wakslak2006_construal,B,sonnet45,none,0.0,0.0,0.0,22,40
Wakslak2006_construal,B,sonnet45,demographic,-0.4368073733706916,-0.6316761217695757,-0.2615680360969892,30,40
Wakslak2006_construal,frame_flip,sonnet5,none,0.2924184516323916,0.04276863876976512,0.4614825933908808,40,40
Wakslak2006_construal,frame_flip,sonnet5,demographic,-0.27807031857290654,-0.5256340410937975,0.008111016145477112,40,40
Wakslak2006_construal,frame_flip,sonnet45,none,-0.9827884679791443,-0.9918837577090368,-0.975488848948553,40,40
Wakslak2006_construal,frame_flip,sonnet45,demographic,-0.3148685695730986,-0.5963900972180736,-0.022581193341823312,40,40
Wakslak2006_construal,deidentified,sonnet5,none,0.35387100112948466,0.07589019044886983,0.5986757703812308,40,40
Wakslak2006_construal,deidentified,sonnet5,demographic,-0.17906591917917875,-0.4709627313095119,0.12445926340142573,40,40
Wakslak2006_construal,deidentified,sonnet45,none,,,,18,40
Wakslak2006_construal,deidentified,sonnet45,demographic,0.43358773211837837,0.09131427383011474,0.7606000241218869,30,40
